,reviews
200," I was scheduled to fly out of Omaha Nebraska on December 26 at 12:45 p.m. My flight was delayed twice, and then eventually canceled. This has been quite a fiasco. Southwest offered no help whatsoever to the people who were on these flights. I waited in line at the airport for two hours to get a refund on my flight. When I finally reached the agent, I was offered a $200 voucher that would expire within 12 months, however, I was told that they could not refund my money at that time. I would have to call their customer service line. I have tried calling, been unsuccessful have been on hold and disconnected six times in total have spent 30 hours on hold. Just trying to get a refund for a flight that this airline themselves canceled. Reason for cancellation was not leather related. It was due to the fact that Southwest agents overbooked flights that they had no crew to fly. I will never in my life flying Southwest again three times I have flown Southwest I have had issues every time. This is an absolutely horrible, horrible airline. The true sadness for myself is that I was going to see my two grandsons that I haven’t seen in nearly 4 years. Also going to see my mother who has had stage four cancer. This airline has done nothing for anybody to reconcile the cost, the heartache, the time that we have wasted, and that has been stolen from us. For those future travelers, do yourself a favor and even if you have to pay a little bit more for a different flight also. Do not fly Southwest airlines."
206," |  Flight delays because of lack of Staffing, long wait times of just sitting on the plane for hours waiting to see if they are going to decide to fly the plane only to cancel after waiting for 8 hours and this is not due to bad weather only, because employees don't want to work then. They lost my luggage, I never received my luggage I was wearing the same clothes for 4 days only to catch a flight home, and on the change over, still no employees. Flight canceled after being delayed every hour until after 8 hours they decide to cancel which left me stranded 12 hours away from home, which caused me to get a rental car get a hotel drive home on borrowed money, because I hadn't intended on spending that much money due to their incompetence."
214," | We are family of three (myself, husband and our infant) and frequent Southwest travelers since last 7 years. We were scheduled to fly out to and fro to Dallas from LGA on Thursday (Dec 22, 2022). Before we even started to the airport our flight got cancelled. It makes total sense given the circumstances of thunderstorm just the previous day. We got our flights rebooked for Saturday (Dec 24, 2022). The rebooked flight had stopover at Chicago (MDW) before reaching to DAL. Right before boarding the flight at LGA, the gate agent informed us about the cancelled flight from MDW to DAL. Since, we did not have a place to stay in MDW, we cancelled the whole trip and informed the gate agent about our decision. However, our bags got checked in and could not be taken out from the flight. For the next two days - Sunday and Monday I have been going to the airport and standing in line for 4-6 hrs on each day because no one responds to the phone. My wife has been on phone to get hold of an agent for almost 4 hrs everyday but in vain. Following are the major issues with Southwest: 1. In the name of winter storm there are coming with lame excuses. There is impact of storm from Wednesday till Friday. Every major airline except Southwest recovered from it and resumed their operations. However, Southwest has major operational meltdown everywhere. This is fact ! 2. You lift the damn phone and answer the customers. You are causing agony and anxiety by ripping apart our once in a year holiday break. 3. Our Checked in bags are gone, money did not get refunded, vacation is gone, peace of mind is gone. Shame on you Southwest Operations Team. I feel bad for their customer representatives who take all the anxiety from customers. Where is the operations head at Southwest LGA ? Face the customers, accept the fault and take appropriate measures to get the trust back !"
222,"  Southwest cancelled my flight just hours before departure and bumped me into a flight 2 days later. I was going on 5-day vacation that has just been shortened way too much. It upended all my plans and reservations. All my money and time planning lost. The worst experience ever! I understand a delay of a few hours or even a day, but more than that when the weather is actually nice makes no sense at all! Get yourself together and solve your staffing issues or stop selling flights if you can't manage to operate well enough!!"
227," |  Two years ago Southwest cancelled my flight hours before takeoff. I had the extra money in 2020 to rebook with another airline, but due to the current state of inflation, I could not afford to purchase a new flight. My flight was cancelled on 12/23/22 and I have spent over nine hours on hold trying to speak with someone. The one time a person answered, he couldn’t hear me due to the static in the line. I have not been able to reschedule so my Christmas plans along with other millions of travelers is ruined! Thanks Southwest for your poor planning. I do not want flight credits! My hard earned money needs to be returned to the card my plane ticket was purchased on. Moving forward, I’ll pay more and book with American or Delta airlines. I hope that the FAA can impose some type of substantial fine for this airline."
232," | Southwest cancelled my flight and took it upon themselves to rebook me for another flight scheduled for 3 days later. When I called to request a refund not only was I on hold for almost two hours, I was told that I could only get flight credit. Why should I only get flight credit when I paid for a flight to depart on December 23 and was not given one. Southwest stole my money! I paid for something that was not provided I should be entitled to a full refund given that I did not get what I paid for. What’s to stop Southwest from canceling every one’s flight every day and forcing them to get a credit. I don’t want a credit. I don’t want to ever fly Southwest again. I don’t need a credit. I need my money back since Southwest couldn’t deliver what I paid for. Southwest can’t keep my money. That is stealing!"
241,  I have flown faithfully with Southwest for many years and I’ve never had to cancel a flight. But my boyfriend was ill and didn’t want to expose anyone to whatever he had so we choose to cancel. When we bought our tickets it said in bold print no cancellation fee. And I looked at the small print papers and they also said no cancellation fee will be incurred. When I called to cancel the first person said there is a 200.00 dollar cancellation fee. I asked to speak to a higher person and they told me I have no choice to accept fee or lose all the money. At first I accepted it . Then I read their policy over and over and again it said no cancellation fees. I called back and spoke to someone and said this is not acceptable your policy clearly states no cancellation fees. I had to fight with this person and I told them I will see them in court and call news crews. They finally gave me back my 200.00 dollars. I still have the policy and no fees incurred on my phone. I’m disappointed that they know their policy but yet try to lie and and steal money from their clients. My boyfriend is a lawyer and I’m an educated women and had to fight for my rights. How many people have paid the fee that shouldn’t have. The airline clearly are stealing from people. The public needs to be aware of these deceptive practices. I’m sure they know what they are doing. When I called it was the same person answering and using different names. Shame on him. Shame on Southwest.
254,"  We attempted to book a flight from BWI to Indianapolis for Sunday, October 16, 2022 and wanted to use miles. We were in the process of putting in the information to purchase the ticket and got a notice that we needed to purchase additional miles. We purchased $345 in additional miles to have enough for the ticket and then continued to enter the rest of our information for the ticket. When we clicked purchase, we got an error message and it said to call the airline. Upon speaking with a Southwest Airlines representative, we were told that the flight was now sold out. So frustrating. We then asked for our money back for the miles we could no longer use and were told that they were non-refundable. Apparently Southwest thinks it's ok to spend $345 and not even get a ticket for it. When I asked to speak with a supervisor, I was told that they would forward my ""case"" to Corporate Customer Relations and that we'd hear from them in 10-12 business days. We just received a call from a Customer Relations representative and all he did was explain that he wouldn't refund the money and that it was their policy. The entire process is a bait and switch and should be banned. Southwest Airlines should stop these fraudulent practices and refund customer's money when they can't give them a ticket. We plan to avoid Southwest Airlines whenever we can. Watch out."
257," | Decided to purchase early check in hoping for a better seat. It did not clearly explain that you still have to check in later and accept the boarding assignment the choose. When questioned they rudely said ""it does not guarantee A boarding"". I asked since it will not show boarding assignments until normal 24 hours prior to flight how do I know I was give an assignment at 36 hours before flight and was very rudely told that I just didn't understand how it worked but if I wanted to spend some more money I could get an earlier boarding assignment. These are the rudest airline staff I have ever dealt with."
260," |  I have made multiple purchases for a flight and both times the money has gotten put back into my account. The first time I called them and they said it was a banking problem so I called my bank and they said it was nothing on their end, called southwest customer service again after I made my second purchase (which was $100 more then the first time I bought a ticket) and they said everything should be fine, and that the confirmation code was verified and nothing should go wrong. A couple days after wards it happened again so I just called southwest and was on hold for an entire hour just for them to tell me that I need to go to the airport and do it there, I cannot do it online or by any other card and it needs to be purchased at the airport. My flight is suppose to be in a week so there is no guarantees that seats will still be open, I have a job so I can’t go for another 3 days and my airport is almost 2 hours away from me. This is ridiculous, I’m just trying to go visit a friend in college but now I have to deal with this. I have used southwest many other times and had no problems, I thought it was reliable airline but after this, I don’t want to fly with them."
313," Atlanta to La Guardia. On Monday, July 25th, 2022, my daughter and I were returning home from Atlanta to NYC (LaGuardia) via Southwest Airlines. First time ever using them. We arrive at the airport at 4AM for a 6:10AM flight. After going through TSA and sitting at the gate for a while, our flight was cancelled with no announcement or warning. My daughter happened to look up and see on the gate TV screen the words “CANCELLED”. The gate personnel were gone and I was left to 1) calm my daughter’s nerves because she has never experienced this before 2) calm my own nerves as I suffered from severe anxiety and my meds were in my checked bag and 3) try to figure out what to do next. Keep in mind, I booked the early morning flight because I had to be home by 9:30am to take over the babysitting duties of my two other children so that my wife could go to work. So that was my first thing to address, finding last minute child care. I then get an email confirming that my flight was indeed cancelled (no explanation as to why) and I was put on the 8:25 PM plane to LGA later that night. So now the next steps were to find out what happened to our checked bags and what to do for 14 hours till my flight with pretty much no money left for my daughter and I to find a hotel (I mean we’re taking a low budget airline. I’m a stay-at-home dad living on my wife’s income. Go figure). 14 hours later with our bags in NY before we are even on a plane, we get to the departing gate for our rescheduled 8:25pm flight and of course it’s DELAYED. 9:10pm is the new departure time. Then it’s pushed back to 10PM!!! Once on the plane, only water and a snack was offered to us (soda, coffee and alcohol were no longer an option). Once at LaGuardia, we then had to find our checked bags. My pre-arranged airport pick-up, no longer available. The line for a taxi, extremely long. My daughter and I jumped on a city bus to take us to Manhattan so that we could take a taxi to the Bronx. $30 dollars I couldn’t afford to spend charged to my credit card. Long story short, got to the airport at 4AM and after an anxiety inducing day/afternoon, my daughter and I get home at 2am in the morning. Fast forward to today. I call Southwest customer service to 1) get an explanation and 2) find out how Southwest can make things right for me so that I can continue using them in the future (again, this was my first ever experience with them). The agent informed me that the first flight was canceled due to weather and that the rescheduled flight was delayed due to air traffic control issues, so we were not entitled to compensation. 1) I never once said on the call I wanted to be compensated so that was quite an assumption and 2) was then told after reiterating everything I went through “would you have preferred that we put you on an unsafe flight?” I mean WOW!!!!! What a “great” condescending customer service response. To the Southwest rep that hopefully reads this (and yes, I will be posting this on MULTIPLE review sites and social media), I shall NEVER fly Southwest again and will voice my displeasure to anyone who asks me about my experience with Southwest. PS- My family and I had an issue with JetBlue a few years ago and their customer service was the TOTAL OPPOSITE of what I experienced with Southwest. Very warm, helpful and their actions showed that I was a valued customer."
315,  Good prices and nice perk with the free checked bag. I’ve flown Southwest multiple times solely because of price and you get what you pay for. I never had a flight from Southwest on schedule. Always a delay or changing gates last minute. Seats are uncomfortable and most of the time the staff is rude. One time they “couldn’t find the pilot” and delayed us for three hours. I recommend spending the extra money and flying with another airline. Southwest is very unprofessional
320," |  Chicago to Orlando. I booked a flight for my family of 9 to depart on June 29 at 9am and when we get to the airport awaiting to be boarded, they announced the flight is canceled at 8:30am. A few minutes later, they arranged the passengers to either call or wait in line to the customer counter to have flight rearrange. The reason that was given the flight was cancelled is that weather in Orlando is bad enough for they now allowing flights to come in (which is a super stupid and big lie). And it was just that I searched the internet to see that over 1000 of their pilots are picketing and I believe this is the true reason and they just not willing to admit that and unwilling to cut low on their flights to accommodate this. Instead, my flight is delayed for almost 12 hrs and my family of 9 had to split up with 3 flying to transfer in Ohio. We ended up to arrive in Orlando at 1 in the morning instead of 1 in the afternoon. And I see that a flight on the same day departing at 10 am did not have a delay or cancellation. This is the first time I fly in Southwest and probably the last time. I accept delay but I do not accept giving unbelievable excuses due to the company’s poor management and their attitude to just want to make money and carelessness for people whatsoever."
334," |  What a scam airline. Everyone should know this scam they are pulling while bragging about no bag fees. This is there only selling point. They know they would lose 50% of their customers overnight if they started bag fees. There check in procedure is set up to make you want to use your points to upgrade. I was waiting to check in with my laptop and phone through there own app. Conveniently enough, when 24 hour check time came up, the website and app took 3 minutes to come up with the check in button. By the time it did and I was able to hit check in, I was given end of B group. I immediately called southwest to find out what was wrong with there system. The lady said nothing was wrong, BUT, we can upgrade you for 25,000 points to put you in A 1-15. I jumped on it because I want to use my points up and will never fly southwest again. Will cancel my credit card that I have had since 04 and spend extra money for peace of mind travel, not games. Very unprofessional business practices."
340," |  Currently ongoing. Typically have recommended this airline, but this has been a horrible experience. Our flight from STL to Portland, ME had our connecting flight in Baltimore canceled. Customer service was horrid and had to eat money on 2 hotel rooms for that night; the impromptu one and the originally scheduled one. Lost a full 24 hours waiting on the flight we got rebooked for. On the rebooked flight, we paid extra for A-boarding, but due to their system issue or something their personnel forgot to do in the computer with pur luggage, we got kicked out of line and had to go to customer service; nothing about us getting refunded that money. Now, flying back from Portland via Chicago to STL, showed up to airport and flight immediately delayed 2 hours. As plane touched down and getting ready to board, announced another 45 minute delay due to ""weather."" Checked weather in Chicago: beautiful. Weather here: beautiful. Weather in-between: nothing. It's all staff, but they're walking all over their customers using Weather as an excuse to keep from compensating anyone."
343," |  Southwest Airlines took $3,650.76 on May 27,2022 and refused to refund my money for a flight that they had cancel due to inclement weather on that date. That same very date of May 27,2022, Southwest had rescheduled my flight to board a 5:50am flight to Denver, Colorado to get to Houston, Texas for my family of 10 vacation and charge me a additional $3,650.76 for another flight. Southwest had dispense my older children luggage to 2 different states which was Houston, Texas and my twins stroller Denver, Colorado and my medications went to Houston, Texas as well. Southwest took a total of $7,500 in less than 48 hours and my family never flew in the airplane. Southwest took $7,500, ship our luggage to 2 different states, cancelling our flight without proper notice and called the Sherriff department to follow my family around the terminal to give us a ticket that we currently have to see a judge about now to clear our name. On top of paying $7,650.76, Southwest ask me to pay more money for my twins when I had originally paid for them to board the plane. Southwest never gave my family an apology for all of the strife, chaos, shaming, belittlement that’s that my have put on my family.  I will never have my family to board Southwest ever again. I have lost all respect for this airline company. I have encountered some rude and unprofessional workers on the customer-service lines who talks fast pace to get you off the line. Southwest promise my family a flight on 5/28/2022 blast 5:50am, they let my family board the plane as a touring experience, sit down on plane, then ask all of us to exit the plane. My personal preference will be to never paid or even board this airline again. If you want to get rip off, taking advantage of, swindle out of your hard earn money than choose this airplane as your 1st choice. After they refund my $3,650.76, I will never give them my business again. It’s way to many competitors of airlines in the world to be settling for less and making a joke out of people family members just to enjoy a family vacation that you have save for."
355, |  My review is about the customer service I have been receiving. My last two times of flying have been pretty much very dissatisfying. When I flew to Florida in June my flight got canceled I had a book at a hotel I lost a days vacation couldn’t get my money back from the hotel. Then this flight that we just came back from they change the flight so many times that when you add up the loss we took in our time vacationing we lost a whole day. Then I try to use my vouchers and my guest certificate that I got from some friends to book my Southwest vacation. And they wouldn’t take it. But I asked them to extend the six months that I had to use them and they won’t. So they took my money they stole my money. I’ve been flying with Southwest for 12 years I’m so disappointed with what they have turned into.
368, |  I called the Southwest Airlines customer service line about an issue I had when flying from Chicago to Vegas. They did not care and literally said there is nothing we can do. I get on the airplane and they say things are not working on it. Now I am on my way back from Las Vegas to Chicago and we are over 1hr late. Once again no one cares. Please read reviews before spending extra money on tickets like my business class ticket that does not mean anything.
378," |  The absolute worst airline. I wanted to give Southwest another try because a family member raves about the service. I decided to give them another try. Huge mistake. Flights not on time. Sure this airline is cheap but the value and customer service you get is suspect and chances are, your flights going to get cancelled. What happened to this airline? Pay the extra money for a different airline."
387,"  I am beyond frustrated with this airline as a concerned mother whose child is flying alone for the first time. I called the airline over 10 times and received a different story each time, to make matters even worse you can't speak to a manager or a supervisor because apparently they have none. Eventually I found out you can talk to a service coordinator. No wonder no one's on the same page and they all give you different answers! Who trained them or taught them what the airline procedures are. They don't care that you can't afford for the flight to keep going up like they said they have no control over it but neither do they have control of the procedures. I couldn't even book my child a minor under my account because they are so worried about whatever point system they have going on. They obviously need a family plan where you can have your spouse and children under. Especially for someone who gets frustrated on the internet quickly. They have made the beginning of my trip with my daughter hell and my finances tight because they had to refund me and were so happy to book another flight because apparently I'm so rich. I can't wait 3 days till the refund comes in to get another flight because I would have lost the price I could pay. So I had to come up with money for another flight which of course went up the next day but hey at least she said ""I'm Sorry""."
403," |  I missed the first leg of my flight and had to schedule 1 way. Now they canceled my return flight. I asked them how to resolve this issue and they said I needed to purchase another ticket (keeping the money from my original purchase that they canceled). Worst airline ever, worst customer service."
408,  Shame on Southwest Airlines. My husband and I and our family have used Southwest for over 20 years. This past March 12 we were supposed to leave Portland Maine at 5:30 in the morning and we received a cancellation for no reason on March 11 at 11 PM in the evening. We could not get through to the site via Internet or phone on how to reschedule a new flight. Since we had reservations for two weeks in Orlando all paid for we needed to get on a flight as soon as possible. So my husband tried and tried and waited on hold for almost an hour before he finally just gave up and decided to book a different flight and the only one we could fly find was from Boston which is a 2 Hour Drive instead of a 15 min drive to Portland. The only flight we could find was for 530 leaving Boston that morning which meant we had to leave Portland Maine by 2 AM. We did not sleep at all that night. On top of that the flight that was connecting was delayed as well. The real kicker is that because we did not follow Southwest Airlines rules for rescheduling a canceled flight we had to pay $700 more to drive two hours longer to get to the airport to actually get on a flight. And the person who answered our phone call later on was like oh well too bad you didn’t do it the way you were supposed to. I just don’t understand how a an airline can cancel the flight out of the blue for no reason and not assist their travelers. and then along the way the attendants were rude and obnoxious and in no way helpful or kind. We are still trying to figure out how we can get refunded our money over something that we did not do we did not cancel the flight Southwest airlines canceled the flight. They should honor the fact that we had booked our flights months ahead of time. And they should do a better job when canceling a flight to assist customers and getting to where they need to be.
442," I flew to Denver on December 21, 2021, with a return flight scheduled for January 3, 2022. I got caught in the biggest, most devastating fire ever in Colorado's history. My family and I were evacuated. This was a very traumatic experience and I was exposed to Covid. I tried to schedule a Covid test before the day of my flight but the earliest I could get an appointment was January 3. I bore the expense to drive home out of respect for other passengers and my inability to test due to the chaos and tragic circumstances surrounding the Marshall Fire. I received the following response today: Dear Brenda, We are sorry to learn that you were unable to travel as planned due to not feeling well, and we hope you are doing well. The reservation in question was booked at our Wanna Get Away fare, which carry restrictions such as being nonrefundable. And, while we wish we could honor every request to refund a nonrefundable fare, the reason we are able to offer these fares at such a substantial discount in the first place is because they are a firm commitment to travel. In this situation, the originally-ticketed Passenger still has the flexibility to apply these travel funds to a new reservation provided the reservation is canceled at least 10 minutes prior to travel and travel is completed by the expiration date. We are hopeful you will be able to travel with us soon. We know you have a choice when you fly, and we hope you will continue to choose Southwest. We would truly appreciate the chance to welcome you onboard soon.  I canceled out of respect for other passengers. Incidentally, I did have Covid making for a miserable drive home. I could have easily boarded that plane and saved myself a 14-hour drive on treacherous icy roads, not to mention the expense. SWA is more concerned about money than safety! I gave 24 hours notice and I guarantee my seat did not remain empty with all of the cancellations that were taking place at that time. I think SWA is despicable for putting the concern of other passengers behind the almighty dollar."
450," | First, we stood in line for 1 hour and 15 minutes before we were able to even get to the counter flying Business Select then another 15 plus minutes to get checked in as the customer service rep looked all around instead of paying attention to what he was doing. It took 5 scans of each of our passports, 2 of us were traveling together. People were moving others to the front of the business line for tips. 1 counter working A List passengers that pay more for expedition to begin with, and we were solicited to tip more to get us to the front of the line. No way! Then we were given a free drink coupon for our flight. Beer, wine or liquor was valid for the day of travel only and only for Southwest Airline, this was rejected by attendant with ""We haven't had alcoholic beverages for over two years now, then he chuckled"". A non alcoholic beverage offering at that time would have been nice, but no offer. We had already had coffee and soda, so maybe one drink allowed. This is the worst experience ever flying. Why should I pay for business class if it does not benefit me. We boarded behind wheelchair passengers and their extended families who miraculously were able to travel walking when landed due to no wheelchairs available yet at the gate. Three of 9 remained seated waiting for assistance. I have no problem waiting for those three, at all. This makes me question if I will ever fly Southwest again, but I will never pay for Business Class again with them, regular boarding took well over 2 hours to check in for the flight. There were at least 5 counters to serve other class boarding. The security process took way less time as they screened everyone's bags and persons. This is an economy type airline, thankfully it was the non-stop destination option. Beware, if you fly with them, keep your money in your pocket and don't bother with A list, business or first class, you just threw away your money."
